,review_es
28,"Esta es una película realmente divertida, especialmente la segunda, tercera y cuarta vez que lo observas.Es un bonito cortometraje, y definitivamente lo recomiendo verlo más de una vez, lo harás 'más la segunda vez. Es como el grifo espinal pero la versión de rap.Tiene mucha actitud, lo que puede ser algo negativo en las películas influenciadas por el rap, pero es solo un total de la p ** s y no es un problema debido a la ironía que crea.Plenty de bits de sobrecarga, unoDe esos tipos de películas que se encontrará citando líneas con sus compañeros, y recaudará la risa. La parte favorita personal es la sección 'Guerrillas en la mitad'.Gran video, magnífico!"
29,"Ok, todos estuvieron de acuerdo en lo que fue la mejor temporada. El primero. Y matar fuera de Boone fue una mala deseción. También matar a los demás fue malo. Culpla a los directores y escritores por ello. Chicos malos. PERO. ¡Todavía creo que esta es la mejor serie de Scifi! Lo siento chicos, no puedo evitarlo! Veo que la calidad de la serie estaba disminuyendo después de la primera temporada. Sin embargo, es fácil aceptar a Liam como el nuevo personaje principal, si está sobre Boone. Él es realmente ... misterioso. Lo que más me sorprendió fue cuando Lilli fue escrito fuera de la historia y cómo. ¡Eso fue algo que ella no se merecía! ¿Y qué obtengamos? ¡Alguna chica rubia llamó a Renee, con absolutamente ningún personaje! Pero estos Taelons se mantienen misteriosos, y te quedas preguntando acerca de los verdaderos planes hasta el final. Verdadero sospechoso. Las conversaciones entre Zo'or y Da'an a veces son brillantes. Entiendo que, cuando saltas en un episodio de la 3ª, 4ª o 5ª temporada, es posible que no entiendas este programa. ¡Pero cuando observas desde el principio, simplemente no puedes romperte! La actuación es excelente, el FX especial es maravilloso, la música es hermosa y la trama intrigante. ¡Tengo que ver esto, chicos!"
30,"Otra de esas películas que escuchas de amigos (... o lees sobre IMDb).No muchas notas falsas en este.Podía ver casi todo aquí que realmente le sucede a una joven que huye de una ciudad natal sin salida en Tennessee a Florida, con todas sus posesiones mundanas en un antiguo automóvil golpeado. La heroína, Ruby, hace algunos puestos falsos, peroaprende de ellos.Me encontré preguntándome por qué, ¿por qué no se apoyó un poco más en el hombro de Mike, pero ... ella tiene sus razones, a medida que sale, solo una película fina?Lo único que no me gusta mucho, creo, es el título."
31,"Paul Bettany did a great role as the tortured father whose favorite little girl dies tragically of disease For that, he deserves all the credit However, the movie was mostly about exactly that, keeping the adventures of Darwin as he gathered data for his theories as incomplete stories told to children and skipping completely the disputes regarding his ideasTwo things bothered me terribly: the soundtrack, with its whiny sound, practically shoving sadness down the throat of the viewer, and the movie trailer, showing some beautiful sceneries, the theological musings of him and his wife and the enthusiasm of his best friends as they prepare for a battle against blind faith, thus misrepresenting the movie completelyTo put it bluntly, if one were to remove the scenes of the movie trailer from the movie, the result would be a non descript family drama about a little child dying and the hardships of her parents as a result Clearly, not what I expected from a movie about Darwin, albeit the movie was beautifully interpreted"
32,"La última película por el director subestimado Alberto de Martino (""El Anticristo"", ""The Killer está en el teléfono"") es un Giallo verdaderamente suspenso pero incomprensiblemente descuidado, que contiene prácticamente todas las marcas comerciales que hacen que este subvención de horror italiano sea tan magnífico y adictivo. a los fans. Hay algunos temas muy perturbadores (abuso infantil, sacerdotes falsos ...), cargas de momentos espeluznantes, giros de parcela, y derecha, música excepcional y, pero no menos importante, ¡un puñado de escenas de asesinatos realmente sádicos! Especialmente la secuencia de apertura, que es una especie de prólogo, es una poderosa pieza de horror! ¿Qué es lo que se trata de muñecas secundarias ordinarias que las hacen tan espeluznantes? Cuando el hombre anónimo, se vistió como un sacerdote, asaltado a una niña y la cabeza rota de su muñeca rebotó por un tramo de escaleras, ¡realmente envió escalofríos a través de mi columna vertebral! Años más tarde, la joven del prólogo es una mujer adulta unida a una silla de ruedas. Ella heredó mucho dinero, pero usa su fortuna para estimular a los compañeros discapacitados para practicar los deportes y permanecer de manera positiva. Ella - Joanna - se enamora de su entrenador personal y se casan de inmediato. Naturalmente, él es solo después de su dinero y comienza a aterrorizar a Joanna haciendo que reviva el trauma de la infancia que la paralizó. Las repetidas imágenes de un sacerdote siniestro, guiado por Eerie Tunes y una rima de guardería, proporcionan ""fórmula para un asesinato"" con una tonelada de astuto genuino y la dirección de Alberto de Martino es muy resuelta. La actuación es bastante competente, con David Warbeck (""el más allá"", ""el gato negro"") en un rol glorioso villano codicioso. Debido a algunos agujeros de trama y una falta de originalidad, esta película podría no poder competir con los mejores esfuerzos de horror de Italia, pero definitivamente merece más atención. Muchos anteriormente oscuros y desconocidos, Gialli italiano recibieron maravillosos lanzamientos de DVD y, con suerte, ""Fórmula para un asesinato"" se le dará el mismo tratamiento realmente pronto. Mientras tanto, ¡buena suerte seguimiento a este bebé!"
33,"En general, la película está bien.Creo que es mejor que sepet y mucho mejor que GUBRA en términos de su historia, su valor sentimental. Hay algunas escenas que me hacen tocar.Sí, estoy de acuerdo en que el niño (Mukhsin) hizo su actuación muy bien.Brillante.Puedo decir que su actuación es casi natural. Sin embargo, la canción 'NE ME QITTE PAS' de NINA SIMONE REALMENTE ""'MENAIKKAN' MY 'BULU' 'ROMA'"". Me encanta la canción.Tanto la canción.""NE ME QUITTE PAS"" y ""HUJAN"".Acabo de descargar la canción.Hermosa. Y saludo a Yasmin.El crédito final de la película me hace tocar nuevamente.Podemos ver cómo Yasmin realmente apreciaba a sus padres de una manera única. Creo que la película merece ese gran premio de jurado internacional en el Festival de Cine de Berlín. Dé 8.5 de 1o Stars."
34,"Eichard Gere y Diane Lane de nuevo en otra historia de amor romántica. Son un excelente equipo, pero de alguna manera esta película no estará entre los mejores, el director George Wolfe con un guión de Ann Peacock y John Romanao, para la novela de Nicholas Sparks, hace un trabajo capaz. Esta es otra historia de 2 extraños que se reúnen y se enamoran, luego continúan, cuando están a punto de reunirse nuevamente y comenzar una vida juntos.spoiler pero no realmente. La tragedia ocurre, uno de ellos muere. Cuanto muchas veces lo hemos visto ya. Tanto que nunca vieron a TearJerkers como este, con suerte le gustará más de lo que hice. Esta historia tiene sobre cada cliché que hay. La única razón por la que esto tiene las calificaciones que le daré. Se debe a la fina actuación y excelente producción. El elenco, además de nuestras 2 estrellas, incluye a Christopher Meloni, Viola Davis & Scott Glenn. Todos dan una excelente actuación real y hacen lo mejor con el material que estaban ganando, pero no se hace una secuencia de tormenta, las escenas de sexo están bien hechas, sin desnudez y casi no hay lenguaje asqueroso, calificaciones: *** (fuera de 4) 82 puntos (de 100) IMDb 7 de 10)"
35,"Bueno, déjame ponerlo de esta manera, siempre he sido uno de los ""Hardcore Brothers"";Siempre me encantó la música rock, y especialmente el metal pesado !!¡Por eso esta película es como un regalo de Dios!Creo que esta película es una de las mejores películas de la historia (bueno, excepto por la historia y la guerra de Star Wars, por supuesto ...).Es genial escuchar a todos los clásicos, como ""Long Live Rock and Roll"" (DIO), ""Stranglehold (Ted Nugent), canciones de Jon Bon Jovie, Púrpura profundo, AC / DC, Zakk Wylde y varias otras bandas de rock legendario. Celestial¡Absolutamente precioso! ¡Maravilloso !!! Espero que hagan más películas como esta (de lo contrario, son solo películas de mierda, como ""AC en DA USA"" o lo que lo llaman, y ""8 millas"". ¡Bulls ***!). Bueno, ¡lo recomiendo firmemente esto de todos modos! ¡Todo lo que me falta es un par de canciones de Stratovarius! ¡Pero excepto de eso, es una de las mejores películas de todos!"
36,"He descubierto esta película accidentalmente y fue una buena sorpresa. Un clásico de Navidad, también es una de las buenas comedias de los años 40. La línea de la historia es simple: Elisabeth Lane (Barbara Stanwyck) hace la vida escribiendo columnas culinarias para una revista. En Navidad, su jefe, Alexander Yardley (Sydney Greenstreet) le pide que invite a un joven marinero debilitado en la granja de Connecticut. El único problema es: ella no tiene ninguna granja y no puede cocinar. Para salir de la mermelada, Elisabeth acepta casarse con un amigo rico (Reginald Gardiner, que tiene una granja) y vuela para Connecticut con su maravillosa cocinera tío Félix. Hay una dirección fina de Peter Godfrey y el elenco es realmente maravilloso: Stanwyck nunca ha sido mejor como esta mujer ingeniosa y, sin embargo, romántica. Greenstreet, Gardiner y Sakall hacen personajes hilarantes y de apoyo humano. El único punto débil es el hombre líder, Dennis Morgan. Comienza bien, pero a medida que avanza la película, se convierte en realmente un orificio. Casi se siente, lo siento por que Elisabeht Lane termine con él en lugar de con Gary Cooper o David Niven, que ambos habrían sido más adecuados para la parte. De todos modos, esta es una feliz película de Navidad con una puntuación refrescante y le recomiendo a todos a los que le guste pasar fiestas divertidas y dulces ... en Connecticut."
37,"En defensa de esta película debo repetir lo que había declarado anteriormente. La película se llama Arachina, no tiene un nombre sin nombre y no me refiero a ningún nombre, ya que en los actores que juegan en pequeñas películas de arte. Me refiero a que no hay nombre, ya que en su escuela secundaria local decidió hacer un nombre de película y podría tener un presupuesto de 2 dólares. Entonces, ¿qué espera uno? ¿Hitchcock? Sentí que la película nunca se tomó en serio, lo que lo saca automáticamente de la peor lista de películas. Esa lista es solo para un gran presupuesto, todas las películas de fundición de estrellas que se mensan demasiado en serio. La película El Oscar viene a la mente, la mayoría de las películas de Sylvester Stallone. Los dos clientes potenciales no eran Hepburn y Tracy, pero hicieron sus trabajos lo suficientemente bien como para esta película. La mujer pateó a Tope y el chico no era un idiota alegremente. El actor que jugó al anciano era en realidad muy bueno. El hombre que jugó al profesor retenido anal no era un Webb de Clifton, pero él hizo un trabajo de Dios. Y los Bimbo por falta de una mejor fueron jugados por dos actores competentes. Me reí de los efectos especiales de 50 centavos. Pero eso fue parte del encanto de la película. Jugó como un híbrido temblores se encuentra con la noche de los muertos vivientes. La premisa de la película es como todas las películas de errores gigantes de los años 50. Un meteoro o radiación agite el ecosistema y antes de que sepa que tenemos hormigas gigantes, langostas, rocas o lagartos que aterrorizan a los lugareños. Un meteorito fue la causa de los problemas esta vez. Yo estaba muy entretenido. No esperaba mucho y voy mucho más, esperé."
38,"""VERDE DOYLENTE"" es una de las mejores y más perturbadoras películas de ciencia de los años 70 y aún muy persuasivas incluso para los estándares de hoy. Aunque defectuoso y un poco fechado, el toque apocalíptico y la premisa ambiental (típica de ese tiempo) aún se sienten muy inquietos y estimulantes. El nivel de calidad de esta película supera la mayoría de las películas contemporáneas de SF debido a su fuerte elenco y algunas secuencias intensas que personalmente considero clásico. La Nueva York de 2022 es un lugar deprimente para estar vivo, con exceso de población, desempleo, un clima poco saludable y la escasez total de cada producto alimenticio vital. La única forma de alimentos disponibles es sintética y distribuida por la compañía de SOCIENTE. Charlton Heston (en una gran forma) juega a un policía que investiga el asesinato de uno de los ejecutivos más eminentes de Soilent y se tropieza con escándalos y secretos oscuros ... El guión es un poco más sentimental a veces y el clímax no llega realmente Como una gran sorpresa, todavía el ambiente es muy tenso y extraño. La secuencia de disturbios es verdaderamente agotadora y fácilmente uno de los momentos más macabros en el cine de los años 70. Edward G. Robinson es, en última instancia, es impresionante en su último rol y hay un papel de apoyo excelente (pero demasiado modesto) para Joseph Cotton (""Baron Blood"", ""El Abominable Dr. Phibes""). ¡Esta es la ciencia ficción en mi libro: una pesadilla e inevitable desvanecimiento para la humanidad! No hay espacios elegantes con monstruos peludos que atacan a nuestro planeta."
39,"Esta película fue brillante!¡Me encantó absolutamente!Wesley Snipes fue excelente para este rol, y estoy seguro de que Blade 2 sería igual de bien. ¡Blade es, con mucho, una de mis películas de acción / horror favoritas.Y si aún no lo he visto, y como los vampiros y la sangre (todas las cosas), realmente deberías alquilarlo, porque te aseguro que te encantará!"
40,"Vi la película en su estreno norteamericano (14 de julio de 2004) en el Festival de Fantasia. Me decepcionó un poco, ya que había estado esperando una película más EPIC, Ensemble Cast a lo largo de las líneas de Musa The Warrior. En su lugar, la película concentró solo un número mucho menor de caracteres. Aún así, la película era sólida, reflexiva y visualmente intrigante. Hubo turnos de tono ligeramente jarring del tono dominante reflexivo y realista de lealtades confundidas, intrigas y sangre, frente a las secuencias más ligeras, más extravagantes, artes marciales. Casi parecía que los cineastas no pudieran decidir si se suponía que la película era una ""película"" de artes marciales o una épica histórica. La historia toca muy bien sobre el tema sobre la necesidad de lealtad frente a la necesidad de adaptarse a las nuevas situaciones. ¿Realmente vale la pena su vida y a los de sus amigos para ser leales al maestro de uno o pasar un momento en el que uno debe someterse a los vientos del cambio? ¿Hay quizás un coraje mayor para dejar las viejas formas para los nuevos? ¿Cómo se decide uno? Estas preguntas se plantean en esta película e irronecamente, ¡existe la sugerencia de que la respuesta dada, puede, en realidad, ser el equivocado!"
41,"Para aquellos de ustedes que buscan los trucos locos que tipifican una comedia silenciosa de Harold Lloyd, esta no es la película para usted. Lo que nos da la pata de gatos es un personaje interesante y atípico para Lloyd, quien estaba tratando de establecerse en Sound. Para mí, la comparación de películas más cercana con el personaje de Lloyd es el de los vendedores de Peter en estar allí. Para toda la educación que Lloyd ha recibido en lidiar con el mundo, también podría haber sido educado de forma aislada como vendedores. Pero, donde fue criado fue como el hijo de misioneros en China y no sé cuánto cristianismo Él y su familia pudieron enseñar a los chinos, pero el joven Harold ha aprendido la sabiduría del filósofo chino Lin Po Po a quien cita constantemente como un aforismo de galletas de la fortuna. A medida que resulta que Lin Po resulta ser un tipo sabio. El padre de todo el padre Samuel S. Hinds ha decidido que su hijo necesita una educación en el mundo moderno de la América del siglo XX y lo envía de vuelta para ser el invitado del pastor de la Iglesia doméstica que patrocina la misión. El pastor está el candidato perenne del movimiento 'Reforma' de esa ciudad de Stockport. Pero, antes, llega Lloyd y el pastor muere. Ahora, el movimiento de la reforma es una farsa y el pastor, un Patsy de los jefes políticos que necesitan un oponente de Straw-Man en cada elección. Ellos deciden que Lloyd podría ser un mejor patio que el tipo que acaba de morir. Por supuesto, ya que va en este tipo de películas, el Patsy demuestra que no es tan fácil una proposición. De hecho, Lloyd citando constantemente desde Lin Po, la forma en que Charlie Chan solía dispensar la sabiduría demuestra que el adversario para los ladrones que dirigen a Stockport. Además, Lloyd gana la admiración de una Merkel, ya que Cynical A Dame como Jean Arthur estaba en el Sr. Herms y el Sr. Smith. La pata de gatos sigue siendo una buena sátira política, aunque no estableció a Harold Lloyd como un gran nombre de comedia, ya que estaba en películas silenciosas. Un buen elenco de jugadores fue seleccionado por el director Sam Taylor rematado por George Barbier, quien interpreta a un jefe político que descubre Lloyd y, en realidad, demuestra tener una racha de honestidad en él."
42,"La edad del acero sigue al episodio anterior, el aumento de los cibermanos, que fue excelente en algunos aspectos, careciendo de otros. ROTC tuvo algunos elementos positivos, la representación excelente más importante del Doctor. De hecho, su especie de Daft Giddiness Bears, a este escritor, la sombra del médico de Tom Baker, con su tipo de asunto subconsciente (como cuando está marcando los períodos de tiempo cuando Mickey está sosteniendo el botón en el TARDIS), sin embargo, trae su propio distante Superiority a la Doctor de La McCoy, mientras permite que los eventos se unen a su alrededor. Algunos críticos y fanáticos, cuyas piezas que he leído parecen un poco consternadas al tener un actor tan joven, retratar a alguien que, a partir de ahora, tener más de 1000 años, pero no estoy de acuerdo. El médico de Tennant, de hecho, ""soporta el peso del mundo en sus hombros"", ya que señala en este episodio, y uno puede ver esto en su caracterización casi inigualable, como cuando finalmente se enfrenta a Lumic / The CyberController en el clímax. Su tipo de actitud ""de OycleManiacherwegoagen"" de Oycle-World-Windsy, que se está, especialmente, especialmente después de la excelente clase de pseudo-trabajo de Eccleston, la interpretación de Bada ** del personaje, más el hombre de acción que el pseudo-doofus de cara fresca de Tennant. El mejor momento de Tennant es quizás después del final cuando está restaurando el TARDIS con su gran sonrisa de panadería, Baker-Esquire, ya que los Tardis reinicia. Aquí comenzamos a tener un sentimiento para este nuevo médico, un personaje que es poco más que las diferentes facetas de la personalidad de la persona que se dividen en 13 personas diferentes; Algunos contradictorios, algunos más agradables que otros, pero todos forman parte de un todo. Aparte de esto, estos dos episodios fueron pasables, pero débiles. El concepto de revivir a los cibermanos es muy bienvenido, y se ven fantásticos, pero la trama que involucra una tierra paralela donde se produce esta acción no parece funcionar bien. Es cierto, la alegoría aquí de la confianza de los humanos en la tecnología y su necesidad de servirlo, ya que el médico señala, es excepcional, pero esto podría haberse puesto fácilmente en la Tierra contemporánea o en los más. Algunos otros puntos débiles son, ya que otros han señalado, la facilidad con que el médico y el Co. salen de los puntos ajustados, a saber. El Rayo de la Muerte desde el componente TARDIS, la matriz aparentemente interminable de usos del destornillador sónico (mi esposa se rió cuando lo estaban usando para quemar a través de la escalera de la cuerda al final; apenas ha visto quién, así que tuve que explicarlo Se usó tradicionalmente como un dispositivo de parcela para liberar los personajes de situaciones desde las cuales no hay otro escape. Se usa con tristeza). Algunos de los que querían la actuación, especialmente Mickey, que realmente necesitan su debido, y algunos de los reparos de apoyo. Lumic era espeluznante, ya que tenía que ser, su voz incluso sonaba Cyberman-Esquire. Sin embargo, la puntuación era horrible, con el volumen de la música a menudo en la escena. En general, encontré aumento del Cyberman más entretenido, aunque la segunda mitad era pasable. La acumulación a lo que sabíamos era inevitable desempaquetas bien, sin embargo, la resolución era decepcionante. Demasiados escapes poco probables, sin desarrollo del reparto de apoyo, y no tiene suficiente teniente en mi opinión. Este nuevo espectáculo es excepcional, y Davies lo está tomando en una buena dirección, pero el diálogo (más allá del médico) debe apretarse, como lo ilustran las despedidas de Mickey, que eran jamón puro."
43,"Sin ""anacronismo mental"", esta película que me gustaría encontrar en DVD ofrezca un buceo extraordinario en el contexto vital y mental del pensamiento de las personas antes del ""desencanto del mundo"".Eso, hay treinta años, un director y un escritor de escenarios podrían probar una de esas empatías y una verdad tan romántica para hacerlo de ellos la obra maestra me deja asombrosa.Sería necesario poder ver y reexaminar la película de TI para adaptarse mejor a que la distancia temporal y cultural nos hiciera perder la capacidad de ser incluida / comprendida, analizar y finalmente aceptar de tal o tal ejemplo de ""pensamiento primitivo"".Debido a que este pensamiento se mantiene casi imposible de sentir en el mundo secularizado, sin embargo, contienen ciertas llaves de nuestro comportamiento, que solo las generaciones futuras podrán analizar con suficiente relevancia.Si alguien sabe dónde puedo obtener una copia numérica o VHS para mí o DVD ... Gracias de antemano."
44,"¿Qué se puede decir sobre Elvira que aún no se ha dicho en la prensa del mundo? La clásica Comedienne que es Elvira entrega en su primera obra maestra de comedia de gran presupuesto completo. De la primera película de películas, Elvira empaca un ponche de actuación que dice claramente el cine genial ... ¡Come tu corazón fuera, Bette Davis! Vea a Forlorn Elvira, vea una elvira excitable, consulte a un celoso Elvira, vea una elvira asesina. ¡No puedes hacer nada más que maravillarse con su destreza actuando! En el corazón de esta obra maestra de la comedia es el deseo de Elvira por el stardom de Show de Las Vegas. A pesar de poner ""el boob de nuevo en el boobtube"" como una anfitriona de horror (con el mayor), Elvira encuentra la pequeña pantalla constrictiva emocionalmente ... ¡y físicamente! Nuff dijo, ella empaca su mochila y se dirige hacia el este ... un Hotdog en una mano y una carta del abogado de su tía que describe su herencia 'Windfall' en el otro. He visto esta película tantas veces, casi puedo Recitarlo Verbatim ... (¡Verbatim simplemente se mostrará)! Coge una copia, se ríe tonta, aprenda las líneas ... por qué no ganó la mejor actriz Oscar para este rol está más allá de mí."
45,"Aunque Stardust parece ser una película de fantasía con finales previsibles y actuaciones promedio, ciertamente no. Cuando vi la película, sabía que iba a ser una de mis películas favoritas. Y tenía razón. Stardust es más de un cuento de hadas que una película de aventuras. Tiene este mágico 'Aura' desde el principio hasta el final de la película. La historia está bien escrita, y lo mantiene al borde de su asiento. Como cada cuento, tiene algo de moralidad. Por lo tanto, conocemos en nuestros corazones que los hermanos malvados no tomarán el trono, pero el niño inocente que logra superar todos los obstáculos y dificultades que se encuentra durante su viaje. También sabemos que el verdadero amor es Yvaine y no Victoria, la chica material que es superficial y manipuladora. Tengo que dar créditos adicionales a Claire Danes. Ella literalmente brilla en esta película. Sus ojos tienen este brillo que encajaba totalmente en su personaje. Además, ella y Cox tienen química que hace que el romance en la película sea aún más notable. El resto del elenco son actores y actrices conocidos, que, por supuesto, hacen que Stardust sea un cine de interés interesante y '' alto '', la película es fantástica, las ubicaciones mágicas y la trama interesantes. Estaba muy decepcionado de que la película no lo hizo. Ser nominado para más premios. Tengo que dar al menos 9/10 estrellas para esto."
46,"Las Vegas es una de las espectáculos más brillantes de nuestro tiempo, su combina una acción difícil de golpear con el drama claro y las dosis pesadas de comedia. Cuenta con caracteres fantásticos liderados por el carismático Tough-Guy Ed Deline (James Caan). El programa utiliza un equipo de vigilancia de alta tecnología fresco para derribar los trucos y los esquemas. Los personajes son alegres de observar, especialmente como sus diferentes departamentos dentro del hotel / Casino Cross Roads.El programa se centra principalmente en la parte de vigilancia y la parte de seguridad del hotel / casino. Los dos personajes principales son Ed Deline, Presidente de Operaciones y Danny McCoy (Josh Duhamel), ex marina estadounidense que sirvió en Irak, pero ahora es Jefe de Seguridad. Los espectáculos de otros cinco personajes principales son el ex personal de seguridad, el personal de seguridad MIT Graduate Mike Cannon (James Lesure); El Feisty, Sexy Casino Host Samanthat Márquez (Vanessa Marcil); El gerente del hotel Sweetheart de la infancia de Danny Mary O'Connell (Nikki Cox); La actualidad actual de Danny también, la hija y el gerente de Big Ed de Mystique Delinda Deline (Molly Sims) y la hija adoptada de Ed de su CIA Pasaron al gerente del piso del casino Nessa Holt (Marsha Thomason) que abandonó el espectáculo después de la segunda temporada. Cada personaje es único a su propio camino peculiar, dando al programa su energía y carisma que mantiene a su audiencia entretenida durante toda la duración de un episodio. Cada episodio de Episodio presenta una STEL ESPECIAL STAR, ya sea cantante, actor o banda que actúan en el club nocturno del hotel. Misterio. Estas apariciones de camafeo por grandes nombres son una especialidad que es popular entre los shows audiencias. Las Vegas es un espectáculo que puede apelar a audiencias masculinas y femeninas. Para los chicos, el programa presenta mujeres sexy, autos deportivos con clase, apuestas de alta apogen, acción de bombeo de adrenalina y en general una piscina para mujeres en topless. Para las damas, está el hombre líder joven y guapo (Duhamel) y el duro deline, romántico y tornado topless chicos en topless alrededor de la misma piscina. La trama de cada episodio combina acción con el drama ligero y la comedia para romper el hielo. Cada episodio también cuenta con 2 historias incluso 3 secundarias que giran principalmente alrededor de los personajes femeninos. Cada temporada también termina con una explosión que deja a la audiencia colgando hasta la emisión de la próxima temporada. ¡Una excelente manera de terminar una temporada! Con una mezcla de la conducción de Género, el espectáculo y un elenco de caracteres coloridos y carismáticos y, por supuesto, no olviden que la piscina en topless hace que Las Vegas sea uno de los mejores programas de televisión que se emitió .9 / 10"
47,"Después de 'Aakrosh', esta fue la segunda película para Govind Nihalani como Director. Se hizo esta película, esta película no había audiencia para los documentales en la India. Esta película demostró ser un punto de que un documental puede cumplir con los requisitos de una película comercial sin diluir su esencia. Fue una de las películas exitosas en el año en que se lanzó. Esta película contuginó contra las grandes pancartas de Bollywood como'coolie ',' Betaab ',' Heroab ',' Heroab 'en 1983.Smithapatel, en esta película actuó más como una conciencia del héroe cada vez que se desvió o perdió la compostura que estaba allí para recuerdale. No era como una heroína habitual para hacer las cosas habituales de correr por los árboles y los arbustos. Una vez, ella incluso renunció a su amor cuando la rutor del héroe tocó el techo de la azotea. Había otro personaje en esta película, que se jugó. por Om Puri Contemporary, Naseeruddin Shah.He jugó como un personaje de inspector-convertido en alcohol. La función transmitió el mensaje del resultado final de un COP honesto que se frotó el lado equivocado del sistema que también le dio a los espectadores la oportunidad de pronosticar el El final del héroe. En su película debut, SADASHIV AMRAPURKAR cautivó a la audiencia con su rol de camafeo, lo que finalmente le ganó el mejor actor de apoyo por el Filmfare. El policía en la película no fue una personalidad completa de la película, pudo adaptarse al sistema a una extensión. La ira que dejó a medio continuó en la otra película de Govind Nihalani ""Drohkaal"". Incluso después de dos décadas, esta película es recordada solo por el director y de toda la tripulación. Cada uno jugó su parte por excelencia."
48,"El comerciante de cuatro temporadas no es lo que llamaría una película feliz, en absoluto, o incluso una que me impresionó hasta el punto de alabarla al cielo (hay otras películas de Fassbinder para eso, como Veronika Voss y los subestimados Satanás. Elaborar cerveza). Pero ciertamente no es menos que un experimento fascinante para echar un vistazo a aquellos en una sociedad que usted y yo y los demás que sabemos que pueda saber, o realmente no quiere saber. Me imagino a principios de los años 70 en Alemania, una generación, saliendo de WW2, tenía un estigma para vivir, pero hizo todo lo posible para evitar. Este es un estigma que flota en toda esta película, y en muchos casos en el trabajo de Fassbinder en general, pero especialmente porque con cuatro temporadas, se encarga de la clase media, y una pareja casada en particular, el distanciado, deprimido, enojado, la El vendedor de frutas y su esposa de larga duración, eso no es nada corta que intentar el realismo en el disfraz de melodrama. Si los cassavetes eran un loco alemán, podría hacer esta película, tal vez incluso como una alumna. La historia suena lo suficientemente simple, donde la bebida de Hans se sale de control, le gana a su esposa (esta escena es una de las más difíciles de tomar, tal vez En cualquier película, la forma en que la cámara de Fassbinder permanece sin un corte, ya que su esposa se deja indefensa y su hija tratando de detenerlo en su frenesí) y luego está listo para dejarlo. Mientras se encuentra en la habitación, su familia lo sostiene, ella hace el llamado al divorcio y obtiene un ataque al corazón allí mismo. Se recupera, su negocio comienza de repente a auge de nuevo con alguna ayuda de algunos empleados buenos (o no tan buenos), y sin embargo, esto continúa su anhelo, para otra mujer, y su desesperación en general. Y aún está en esta simplicidad que Fassbinder intenta , y tiene éxito en su mayor parte, al alcanzar un ambiente de temor, de un ambiente tenso en una cocina o en el dormitorio o en la calle que puede cortar con un cuchillo y sangrar. La parte más débil de esto puede ser la actuación ... al menos esa fue mi impresión inicial. Hans, interpretada por Hirschmuller, puede ser una presencia manchada, con solo los más pequeños movimientos en su rostro y ojos, y por un tiempo no parece que sea un buen actor. La actriz que toca a su esposa, Irm Hermann, y su hermana (Fassbinder Hanna Schygulla), tarifan mejor, pero solo porque se les da más que hacer convencionalmente, como llorar o mirar en cuestión. Se necesita un tiempo para adaptarse a lo que es, esencialmente, un vacío en su tipo Hans, de algo de su propio autosuficiente psicológico o autocompasión que se equilibra a sí mismo y a los que lo rodean, que solo quiere continuar con algún sentido de normalidad. , especialmente una vez que Hans tiene éxito. No todo haga clic en el comerciante de cuatro temporadas, pero lo hizo lo suficiente para hacerme lo recomendar a aquellos que buscan una porción de vida diferente de la que podría estar acostumbrada con más películas americanas modernas. El mundo de Fassbinder Aquí hay un combate entre el melodrama que ama en el cine y el sentido de humanismo de aplastamiento que él siente personalmente y pone personajes que, para bien o para mal, de alguna manera identificamos. ¿Son la familia EPPS una familia que conoces? ¿O incluso podrías ser ellos? Quien lo dirá. Es un estudio metódico de un vacío trágico en el espíritu humano, y se alcanzan todos sus objetivos."
49,"Es la mejor película en la actuación que he visto.Todos los artistas son los antiguos actores de teatro turco, son magníficos en esta película. A veces se dice que ""no actúan, lo viven"", realmente puede ver esto en esta película.El director también es competente, no puede ver muchas cámaras en movimiento, pero las posiciones de las cámaras también son buenos.Pero después de la actuación, la parte más destacada es el contenido de la película.Da la felicidad, el entusiasmo, el deseo de vivir, la importancia de los verdaderos amigos para las personas.Todos empezaron a vivir individualmente hoy en día, en esta película, ves que hay otro otro entonces nosotros.Y lo más importante, ves que el sentimiento más honorable del mundo es amor, amando a tus amigos, amando a tu querida.Todas las personas deben ver esta película ..."
50,"Esta película se asemeja de muchas maneras ""enemigo del estado"" con Will Smith y Gene Hackman, ya que tenemos un hombre inocente (negro) que es perseguido por el ""gobierno"" con toda la tecnología moderna conocida por el hombre.Por lo general, cuando la historia se copia como esta, el resultado es un desastre.Eso no se aplica aquí.Por supuesto, me encanta todo lo que hace David Morse, así que tal vez mis comentarios no son justos, pero hubo más cosas buenas sobre esta película, entonces eso.El Baddy principal, interpretado por Doug Hutchison, fue brillante, y la historia fluía con excelentes extras como David Paymer y Robert Pastorelli.Nuestro héroe, Alvin Sanders (interpretado por Jamie Foxx), sin embargo, estaba irritando la mayor parte de la parte.Él está tan fuera de lugar, agrietando chistes malos, evocando sin simpatía de la audiencia.O no para empezar, lo extraño es que un poco crece en ti (¡y en sus seguidores también!).No esperaba mucho cuando lo alquilé, pero me sorprendió con una buena película de acción sólida con bits de comedia.7/10"
